Row,Column,Conditions,Doses,Doses.Numeric.Value,Doses.Units,Timepoints,Individuals
H,1,,,,,1,
G,1,,,,,2,
F,1,,,,,3,
E,1,,,,,4,
D,1,,,,,5,
C,1,,,,,6,
B,1,,,,,7,
A,1,,,,,8,
H,2,,,,,9,
G,2,,,,,10,
F,2,,,,,11,
E,2,,,,,12,
D,2,,,,,13,
C,2,,,,,14,
B,2,,,,,15,
A,2,,,,,16,
H,3,,,,,17,
G,3,,,,,18,
F,3,,,,,19,
E,3,,,,,20,
D,3,,,,,21,
C,3,,,,,22,
B,3,,,,,23,
A,3,,,,,24,
H,4,,,,,25,
G,4,,,,,26,
F,4,,,,,27,
E,4,,,,,28,
D,4,,,,,29,
C,4,,,,,30,
B,4,,,,,31,
A,4,,,,,32,
H,5,,,,,33,
G,5,,,,,34,
F,5,,,,,35,
E,5,,,,,36,
D,5,,,,,37,
C,5,,,,,38,
B,5,,,,,39,
A,5,,,,,40,
H,6,,,,,41,
G,6,,,,,42,
F,6,,,,,43,
E,6,,,,,44,
D,6,,,,,45,
C,6,,,,,46,
B,6,,,,,47,
A,6,,,,,48,
